#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TIC ID, RA, Dec, pmRA, pmDEC, TESS Mag., Object Type, Source of Type, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, pmRA Err., pmDec Err., Parallax, Parallax Err., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority, eneg_EBV, epos_EBV, EBVflag, eneg_Mass, epos_Mass, eneg_Rad, epos_Rad, eneg_rho, epos_rho, eneg_logg, epos_logg, eneg_lum, epos_lum, eneg_dist, epos_dist, distflag, eneg_Teff, epos_Teff, TeffFlag, gaiabp, e_gaiabp, gaiarp, e_gaiarp, gaiaqflag, starchareFlag, VmagFlag, BmagFlag, splists, e_RA, e_Dec, RA_orig, Dec_orig, e_RA_orig, e_Dec_orig, raddflag, wdflag, MAST Object ID
#@string, ra, dec, float, float, float, string, string, string, string, string, string, string, string, string, string, string, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, string, float, float, float, float, int, string, string, string, string, float, float, float, float, float, float, int, int, string
ID,ra,dec,pmRA,pmDEC,Tmag,objType,typeSrc,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,e_pmRA,e_pmDEC,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,objID
293257184,1.813638944,5.429899865,-61.5873,-55.4879,9.2093,STAR,tmgaia2,20190415,,0007-00987-1,478-000200,00071526+0525475,,J000715.22+052547.0,2.74205E+18,38669036,,0.0882386,0.0605695,12.4307,0.0430556,10.473,0.063,9.801,0.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.589,0.021,8.324,0.036,8.19,0.023,8.136,0.024,8.186,0.02,8.173,0.024,8.286,0.354,9.65745,0.000228,0.006,5621.46,102.539,4.56934,0.0709046,-0.249,0.014,0.859735,0.0358216,1,0.121413,DWARF,0.6649982,0.0154107,80.2602,0.27945,0,0,39,0.000188096,,,0,0,0,,0.0833876,0.159438,0.0432427,0.0284005,0.320041,0.281675,0.0682691,0.0735401,0.0151584,0.015663,0.2785,0.2804,bj2018,98.2059,106.872,spect,10.019,0.000578,9.16305,0.000528,1,,tycho2v3,tycho2b3,planetcandidate,1.36969643,0.93929071,1.813372581,5.429660958,0.035547853,0.029503087,1,0,1142666
293257187,1.744098295,5.442873852,108.895,-66.6802,8.4797,STAR,tmgaia2,20190415,,0007-01102-1,478-000195,00065858+0526340,,J000658.65+052633.6,2.74205E+18,38113999,,0.0882229,0.0642525,13.6049,0.0434996,9.764,0.039,9.071,0.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.881,0.02,7.611,0.038,7.516,0.034,7.42,0.035,7.514,0.02,7.504,0.019,7.358,0.136,8.93122,0.00022,0.006,5629.55,104.633,4.35997,0.0688813,0.301,0.017,1.09408,0.0461106,1,0.119156,DWARF,1.083147,0.02621625,73.3479,0.2358,0,0,39,0.003656607,,,0,0,0,,0.107221,0.131091,0.052104,0.0401171,0.183511,0.0995904,0.0878948,0.0498678,0.019295,0.0331375,0.235,0.2366,bj2018,104.664,104.603,spect,9.30018,0.000863,8.43727,0.001049,1,,tycho2v3,tycho2b3,planetcandidate,1.369484888,0.99636783,1.744569272,5.442586757,0.036485933,0.030077501,1,0,1142669
395320482,1.076480389,12.05124547,8.80685,15.0678,9.3798,STAR,tmgaia2,20190415,,0597-00505-1,511-000123,00041835+1203044,,J000418.36+120304.6,2.76612E+18,40460850,,0.0973125,0.0705876,11.462,0.0566242,10.661,0.072,9.946,0.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.725,0.029,8.367,0.036,8.299,0.018,8.254,0.023,8.286,0.02,8.237,0.026,8.089,0.235,9.84807,0.000428,0.006,5645.32,146.061,4.58343,0.0878578,0.0462868,0.00982396,0.845903,0.0508945,1,0.123879,DWARF,0.6547719,0.01782915,87.028,0.4321,0,0,35,0.000445335,,,0.003547431,0,0,,0.101346,0.146411,0.0444905,0.0572985,0.363056,0.457762,0.0848923,0.0908233,0.0168717,0.0187866,0.43,0.4342,bj2018,163.103,129.02,spect,10.2316,0.000649,9.33463,0.000639,1,,tycho2v3,tycho2b3,planetcandidate,1.517637026,1.094742332,1.076519162,12.05131034,0.052644724,0.037267891,1,0,1315134
365965128,4.06096868,35.17831962,156.983,132.904,8.2943,STAR,tmgaia2,20190415,1297,2268-00701-1,626-000926,00161463+3510418,,J001614.76+351043.3,2.87623E+18,50930412,,0.0693146,0.0612254,14.515,0.0605592,9.626,0.028,8.92,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.661,0.02,7.349,0.027,7.302,0.02,7.167,0.028,7.291,0.021,7.28,0.018,7.257,0.108,8.74577,0.000198,0.006,5648,106.466,4.34839,0.0741696,-0.01,0.04,1.10876,0.0489121,1,0.122703,DWARF,1.127071,0.02927915,68.759,0.2885,0,0,84,0.001152346,,,0.004376953,0,0,,0.0831278,0.162279,0.0528342,0.04499,0.116031,0.17932,0.0704725,0.0778667,0.0292865,0.0292718,0.2873,0.2897,bj2018,90.2019,122.73,spect,9.11411,0.001187,8.25135,0.001828,1,,hipvmag,tycho2b3,planetcandidate,1.127908607,0.950018816,4.061795607,35.17889185,0.043460186,0.044121514,1,0,4233282
293361638,5.120585069,0.124181881,-6.04249,-99.9731,9.1143,STAR,tmgaia2,20190415,,0003-00802-1,451-000478,00202894+0007270,,J002028.93+000725.9,2.5453E+18,35468476,,0.174703,0.135679,11.382,0.0747527,10.36,0.051,9.678,0.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.516,0.023,8.173,0.044,8.142,0.034,8.088,0.022,8.137,0.02,8.11,0.022,7.947,0.244,9.55156,0.000199,0.006,5651.59,101.148,4.46105,0.071284,-0.159,0.016,0.973886,0.0409146,1,0.121164,DWARF,0.8717533,0.0225991,87.6413,0.57855,0,0,46,0.00582199,,,0,0,0,,0.0832992,0.159028,0.0355739,0.0462553,0.233298,0.180041,0.0859946,0.0565735,0.0165002,0.028698,0.5748,0.5823,bj2018,105.501,96.796,spect,9.9011,0.000575,9.06707,0.000439,1,,tycho2v3,tycho2b3,planetcandidate,2.708627942,2.10345596,5.120559053,0.123751441,0.062875438,0.042601988,1,0,5035352
15535089,15.26139158,28.99715908,220.195,-88.2987,7.9997,STAR,tmgaia2,20190415,4749,1746-01208-1,595-002680,01010271+2859498,1.23768E+18,J010102.91+285948.9,3.11334E+17,47180869,,0.0905876,0.0671252,13.2033,0.0418631,9.365,0.007,8.62,0.03,12.9836,0.00337309,9.0508,0.000355114,8.45568,0.000309272,8.38658,0.000540711,8.62049,0.00108227,7.348,0.018,7.068,0.016,7.022,0.024,6.973,0.053,7.042,0.021,7.021,0.016,6.96,0.07,8.45252,0.000394,0.006,5645.53,109.863,4.14785,0.0737265,0.288756,0.0148249,1.39673,0.0627915,1,0.124054,DWARF,1.785401,0.04151575,75.5739,0.2409,0,0,51,0.000606612,,,0.003239373,0,0,,0.117143,0.130966,0.0412814,0.0843015,0.0850961,0.0614425,0.096,0.051453,0.0544563,0.0285752,0.2402,0.2416,bj2018,119.767,99.9583,spect,8.82664,0.002265,7.96118,0.002239,1,,hipvmag,apassdr9,planetcandidate,1.451019417,1.040898467,15.26247552,28.99677891,0.045912632,0.030870316,1,0,14372984
369473164,15.27305196,8.769370707,110.47,-88.5232,8.3052,STAR,tmgaia2,20190415,4752,0605-00517-1,494-001378,01010553+0846095,,J010105.61+084608.7,2.58115E+18,38332636,,0.0752764,0.0526606,10.9903,0.0465207,9.645,0,8.94,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.698,0.018,7.44,0.036,7.3,0.016,7.194,0.035,7.329,0.02,7.329,0.018,7.207,0.128,8.76431,0.000302,0.006,5643,103.801,4.1128,0.0734047,0.33,0.1,1.45422,0.061613,1,0.125861,DWARF,1.931959,0.0509531,90.753,0.38605,0,0,39,0.00306794,,,0,0,0,,0.115815,0.135907,0.0570402,0.0661859,0.0655893,0.065582,0.0600666,0.0867428,0.0366456,0.0652606,0.3845,0.3876,bj2018,109.884,97.7184,spect,9.14294,0.001064,8.26455,0.001186,1,,hipvmag,apassdr9,planetcandidate,1.17084361,0.816785703,15.27353322,8.768989566,0.038548941,0.029871224,1,0,14653407
381475329,16.48338275,35.1169718,97.6467,-15.8027,8.8223,STAR,tmgaia2,20190415,,2286-00430-1,626-003425,01055600+3507010,,J010556.09+350700.9,3.15213E+17,49773148,,0.077185,0.0896281,11.6934,0.0422743,10.148,0.055,9.429,0.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.186,0.023,7.876,0.049,7.788,0.018,7.742,0.026,7.791,0.02,7.775,0.018,7.9,0.162,9.27873,0.000335,0.006,5647.65,113.458,4.37413,0.0722539,0.252,0.023,1.07638,0.0501709,1,0.125194,DWARF,1.061937,0.0265767,85.3091,0.31,0,0,70,0.001099106,,,0.003583259,0,0,,0.0993984,0.15099,0.0392045,0.0611372,0.134415,0.190451,0.0587845,0.0857232,0.0227999,0.0303535,0.3089,0.3111,bj2018,152.957,73.9584,spect,9.65427,0.001618,8.78146,0.002769,1,,tycho2v3,tycho2b3,planetcandidate,1.255369912,1.38969586,16.48389673,35.11690376,0.036797534,0.035765501,1,0,15585702
381270241,17.05201885,21.97700867,400.593,-46.5879,6.99,STAR,tmgaia2,20190415,5335,1202-00802-1,560-002409,01081246+2158373,,,2.79091E+18,44896645,,0.113541,0.145191,30.7306,0.0712683,8.349,0.173,7.61,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.344,0.027,6.015,0.038,5.97,0.031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.43923,0.000287,0.0061,5624,103.837,4.46779,0.0713796,-0.18,0.1,0.966365,0.0411558,1,0.118226,DWARF,0.8417013,0.01962365,32.5106,0.0759,0,0,43,0.000309118,,,0.007015837,0,0,,0.0945669,0.141885,0.0496472,0.0326643,0.205922,0.219644,0.0647176,0.0780417,0.0217307,0.0175166,0.0758,0.076,bj2018,92.9272,114.746,spect,7.81283,0.002773,6.95473,0.00441,1,,hipvmag,apassdr9,planetcandidate,1.793412708,2.251160664,17.05387877,21.9768081,0.048591634,0.056141531,1,0,16458781
399018913,20.28011748,55.34905617,27.3912,-161.818,8.3774,STAR,tmgaia2,20190415,,3674-01571-1,727-011240,01210722+5520565,,J012107.26+552054.9,4.10881E+17,57949475,,0.0823833,0.0819357,11.2555,0.0468147,9.615,0.032,8.966,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.767,0.027,7.488,0.036,7.441,0.024,7.309,0.035,7.402,0.02,7.393,0.017,7.318,0.101,8.80924,0.000222,0.006,5658.13,107.499,4.15648,0.0721344,-0.129,0.012,1.38291,0.0598341,1,0.124316,DWARF,1.765922,0.0446476,88.6204,0.37045,0,0,397,0.05384089,,,0.000329023,0,0,,0.122043,0.12659,0.0532281,0.0664402,0.0654123,0.0829823,0.0558409,0.0884278,0.0411803,0.0481149,0.369,0.3719,bj2018,107.773,107.225,spect,9.15933,0.00133,8.33626,0.00173,1,,tycho2v3,tycho2b3,planetcandidate,1.442267359,1.270497519,20.2803249,55.34835945,0.033034425,0.035432152,1,0,19081630
